ID,Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Engine,Power,Seats,Mileage
1688,Volkswagen,Polo 1.5 TDI Comfortline,2015,61738,Diesel,Manual,1,1498,88.8,5,20.14
1689,BMW,5 Series 520d Luxury Line,2018,32586,Diesel,Automatic,1,1995,190,5,22.48
1690,Mercedes-Benz,GLE 350d,2018,40129,Diesel,Automatic,1,2987,254.79,5,11.57
1691,Mercedes-Benz,M-Class ML 350 CDI,2012,51000,Diesel,Automatic,1,2987,254.8,5,11.74
1692,Hyundai,Grand i10 1.2 Kappa Sportz,2018,10393,Petrol,Manual,1,1197,81.86,5,18.9
1693,Skoda,Superb Elegance 1.8 TSI AT,2011,46000,Petrol,Automatic,1,1798,157.75,5,13.7
1694,Hyundai,i10 Sportz AT,2013,21000,Petrol,Automatic,1,1197,78.9,5,16.95
1695,Hyundai,i20 1.4 CRDi Asta,2011,113562,Diesel,Manual,1,1396,90,5,23
1696,Mahindra,Scorpio VLX,2011,100010,Diesel,Manual,2,2179,120,8,12.05
1697,Honda,Brio V MT,2013,63107,Petrol,Manual,1,1198,86.8,5,19.4
1698,Hyundai,i20 1.2 Magna Executive,2017,58500,Petrol,Manual,1,1197,81.83,5,18.6
1699,Ford,Endeavour 4x2 XLT Limited Edition,2007,90000,Diesel,Manual,4,2499,143,7,10.9
1700,Hyundai,Verna CRDi SX,2011,108242,Diesel,Manual,1,1493,110,5,16.8
1701,Toyota,Fortuner 3.0 Diesel,2011,146300,Diesel,Manual,1,2982,171,7,11.5
1702,BMW,X1 sDrive20d,2011,62943,Diesel,Automatic,2,1995,184,5,17.05
1703,Toyota,Fortuner 4x2 AT,2013,65000,Diesel,Automatic,1,2982,168.5,7,12.55
1704,Honda,Amaze V CVT Petrol,2018,1700,Petrol,Automatic,1,1199,88.76,5,19
1705,Hyundai,i10 Era 1.1,2013,34697,Petrol,Manual,1,1086,68.05,5,19.81
1706,Hyundai,i20 1.2 Sportz,2012,58000,Petrol,Manual,1,1197,80,5,17
1707,BMW,3 Series 320d GT Luxury Line,2015,32500,Diesel,Automatic,1,1995,187.74,5,19.59
1708,Audi,Q3 35 TDI Quattro Premium Plus,2016,58661,Diesel,Automatic,1,1968,181,5,15.17
1709,Maruti,Swift VXI Optional,2017,37124,Petrol,Manual,1,1197,81.8,5,20.4
1710,Maruti,Baleno Delta Automatic,2017,44000,Petrol,Automatic,1,1197,83.1,5,21.4
1711,Hyundai,Accent GLE,2005,45200,Petrol,Manual,1,1495,94,5,13.2
1712,Maruti,Ritz LXi,2016,11000,Petrol,Manual,1,1197,85.8,5,18.5
1713,Tata,Nano Lx,2011,65000,Petrol,Manual,2,624,35,4,26
1714,Ford,Figo Diesel EXI,2012,55005,Diesel,Manual,1,1399,68,5,20
1715,Volkswagen,Passat Diesel Highline 2.0 TDI,2011,81650,Diesel,Automatic,1,1968,167.7,5,18.33
1716,Fiat,Linea Emotion Pack (Diesel),2010,160000,Diesel,Manual,2,1248,93,5,19
1717,Mahindra,Xylo D4,2015,169000,Diesel,Manual,1,2489,93.7,7,14.95
1718,Maruti,Wagon R VXI,2013,67263,Petrol,Manual,1,998,67.1,5,18.9
1719,Toyota,Etios G Safety,2012,44223,Petrol,Manual,1,1496,88.7,5,17.6
1720,Hyundai,Grand i10 Sportz,2015,36840,Petrol,Manual,1,1197,82,5,18.9
1721,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,2014,160000,Diesel,Manual,1,2494,100,8,12.99
1722,Tata,Indica V2 DLS TC,2008,133000,Diesel,Manual,1,1405,62,5,16.8
1723,BMW,3 Series 320d Sport Line,2015,69123,Diesel,Automatic,1,1995,184,5,18.88
1724,Ford,Endeavour 3.2 Titanium AT 4X4,2017,38000,Diesel,Automatic,1,3198,197,7,10.91
1725,Maruti,Ciaz Zeta,2017,5500,Petrol,Manual,1,1462,103.25,5,21.56
1726,Ford,Figo 1.5D Titanium Plus MT,2015,1001,Diesel,Manual,1,1498,99,5,25.83
1727,Chevrolet,Aveo U-VA 1.2 LS,2007,59000,Petrol,Manual,3,1150,74.9,5,15.26
1728,Honda,City 1.5 V AT,2011,78256,Petrol,Automatic,1,1497,118,5,16.8
1729,Nissan,Sunny XL,2016,90000,Petrol,Manual,1,1498,97.6,5,16.95
1730,Maruti,Swift Dzire VXI,2016,18000,Petrol,Manual,1,1197,85.8,5,19.1
1731,Ford,Figo Diesel Titanium,2012,60000,Diesel,Manual,1,1399,68,5,20
1732,Fiat,Grande Punto 1.3 Emotion (Diesel),2011,130000,Diesel,Manual,1,1248,75,5,20.3
1733,Hyundai,Elite i20 Petrol Asta,2018,32851,Petrol,Manual,1,1197,81.86,5,18.6
1734,Maruti,Swift Dzire VDI,2014,32000,Diesel,Manual,1,1248,74,5,23.4
1735,Ford,Ecosport 1.5 DV5 MT Titanium,2014,62700,Diesel,Manual,1,1498,89.84,5,22.7
1736,Maruti,Swift Dzire VDi,2010,71000,Diesel,Manual,1,1248,73.9,5,19.3
1737,Hyundai,Grand i10 Sportz,2016,19947,Petrol,Manual,1,1197,82,5,18.9
1738,Ford,Endeavour 3.0L 4X4 AT,2012,91000,Diesel,Automatic,1,2953,153.86,7,11.4
1739,Volkswagen,Polo Diesel Highline 1.2L,2014,74000,Diesel,Manual,1,1199,73.9,5,22.07
1740,Mahindra,TUV 300 2015-2019 mHAWK100 T8,2018,55594,Diesel,Manual,1,1493,100,7,18.49
1741,BMW,X6 xDrive 40d,2013,58000,Diesel,Automatic,1,2993,306,4,11.2
1742,Renault,Duster 110PS Diesel RxZ,2012,110224,Diesel,Manual,1,1461,108.45,5,19.01
1743,Maruti,Wagon R LXI,2010,21002,Petrol,Manual,1,998,67.04,5,22.5
1744,Maruti,Ertiga SHVS VDI,2017,121000,Diesel,Manual,1,1248,88.5,7,24.52
1745,Maruti,Alto LXi BSIII,2010,73513,Petrol,Manual,1,796,46.3,5,19.7
1746,Maruti,Wagon R AMT VXI Option,2015,34000,Petrol,Automatic,1,998,67,5,20.51
1747,Maruti,Eeco 7 Seater Standard,2017,28371,Petrol,Manual,1,1196,73,7,15.1
1748,Renault,Duster 110PS Diesel RxL,2013,74755,Diesel,Manual,1,1461,108.45,5,19.6
1749,Maruti,Zen Estilo 1.1 LX BSIII,2011,25805,Petrol,Manual,1,1061,64,5,18.2
1750,Renault,Duster Petrol RxL,2015,82603,Petrol,Manual,1,1598,102.53,5,13.06
1751,Honda,Civic 2006-2010 1.8 S MT,2006,110000,Petrol,Manual,1,1799,130,5,13.5
1752,Mahindra,XUV500 W8 2WD,2012,88000,Diesel,Manual,1,2179,140,7,16
1753,Mahindra,Verito 1.5 D6 BSIV,2011,110000,Diesel,Manual,2,1461,64.1,5,21
1754,Renault,KWID Climber 1.0 MT,2017,15000,Petrol,Manual,1,999,67,5,21.7
1755,Porsche,Cayenne Diesel,2013,70000,Diesel,Automatic,1,2967,240,5,15.15
1756,Maruti,Swift DDiS VDI,2008,150000,Diesel,Manual,2,1248,74,5,28.4
1757,Datsun,GO T Option,2016,19000,Petrol,Manual,1,1198,67,5,20.63
1758,Hyundai,i20 1.2 Magna,2011,37442,Petrol,Manual,1,1197,80,5,18.5
1759,BMW,5 Series 2013-2017 520d Luxury Line,2016,63111,Diesel,Automatic,2,1995,190,5,18.12
1760,Maruti,Ertiga ZDI,2012,88000,Diesel,Manual,1,1248,88.8,7,20.77
1761,Hyundai,Grand i10 Magna,2014,42355,Petrol,Manual,1,1197,82,5,18.9
1762,BMW,3 Series 330i,2011,75871,Petrol,Automatic,1,2996,254,5,9.43
1763,Chevrolet,Cruze LTZ,2011,65000,Diesel,Manual,1,1998,163.7,5,17.9
1764,Mercedes-Benz,M-Class ML 350 4Matic,2015,69000,Diesel,Automatic,1,2987,165,5,0
1765,Maruti,Ritz LDi,2011,79232,Diesel,Manual,1,1248,73.9,5,21.1
1766,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT,2007,220000,Petrol,Automatic,2,1796,186,5,11.74
1767,Hyundai,i20 1.2 Magna Executive,2016,28470,Petrol,Manual,1,1197,81.83,5,18.6
1768,Hyundai,EON 1.0 Kappa Magna Plus Optional,2014,9759,Petrol,Manual,1,998,68.05,5,20.3
1769,Maruti,Swift VDI,2014,75216,Diesel,Manual,1,1248,74,5,22.9
1770,Hyundai,i20 Sportz 1.2,2017,8000,Petrol,Manual,1,1197,81.83,5,18.6
1771,Maruti,Ritz ZXi,2014,59451,Petrol,Manual,1,1197,85.8,5,18.5
1772,Maruti,Swift VDI,2013,53996,Diesel,Manual,1,1248,74,5,22.9
1773,Honda,WRV i-VTEC VX,2018,15135,Petrol,Manual,1,1199,88.7,5,17.5
1774,Hyundai,Xcent 1.2 Kappa AT S Option,2015,53000,Petrol,Automatic,2,1197,81.86,5,16.9
1775,Honda,Amaze E i-Vtech,2013,40000,Petrol,Manual,1,1198,86.7,5,18
1776,Hyundai,Verna 1.6 SX VTVT (O),2013,21107,Petrol,Manual,1,1591,121.3,5,17.1
1777,Honda,City V MT,2014,56000,Petrol,Manual,1,1497,116.3,5,16.8
1778,Hyundai,Creta 1.6 SX Plus Dual Tone Petrol,2017,19623,Petrol,Manual,1,1591,121.3,5,15.29
1779,Mahindra,XUV500 W8 2WD,2014,70963,Diesel,Manual,1,2179,140,7,15.1
1780,Maruti,Wagon R LXI CNG,2013,25755,CNG,Manual,1,998,58.16,5,26.6
1781,Toyota,Innova 2.5 V Diesel 7-seater,2013,51450,Diesel,Manual,1,2494,102,7,12.8
1782,Maruti,Swift VDI,2012,75000,Diesel,Manual,1,1248,74,5,22.9
1783,Maruti,Wagon R VXI AMT,2017,37832,Petrol,Automatic,1,998,67,5,22.5
1784,Hyundai,Grand i10 1.2 Kappa Asta,2016,43041,Petrol,Manual,1,1197,81.86,5,18.9
1785,Honda,Amaze VX i-DTEC,2014,97236,Diesel,Manual,1,1498,98.6,5,25.8
1786,BMW,3 Series 320d Highline,2010,83000,Diesel,Automatic,1,1995,181,5,16.07
1787,Ford,Figo Petrol Titanium,2011,65000,Petrol,Manual,1,1196,70,5,15.6
1788,Volkswagen,Ameo 1.2 MPI Trendline,2018,46007,Petrol,Manual,1,1198,73.75,5,17
1789,Ford,Ecosport 1.5 DV5 MT Trend,2015,65925,Diesel,Manual,2,1498,89.84,5,22.7
1790,Honda,City 1.3 EXI,2004,73500,Petrol,Manual,2,1343,90,5,13
1791,Mahindra,XUV500 W6 2WD,2014,55000,Diesel,Manual,1,2179,140,7,16
1792,Toyota,Fortuner 4x2 Manual,2012,115000,Diesel,Manual,1,2982,168.5,7,13
1793,Hyundai,Grand i10 1.2 Kappa Magna,2017,31184,Petrol,Manual,1,1197,81.86,5,18.9
1794,Maruti,Dzire AMT ZDI Plus,2017,41747,Diesel,Automatic,1,1248,73.75,5,28.4
1795,Maruti,Swift VDI,2016,38143,Diesel,Manual,1,1248,74,5,22.9
1796,Volkswagen,Polo Petrol Highline 1.2L,2012,19030,Petrol,Manual,1,1198,73.9,5,16.47
1797,Toyota,Etios Liva 1.2 VX Dual Tone,2019,20877,Petrol,Manual,1,1197,78.9,5,18.16
1798,Maruti,Swift VXI,2016,23555,Petrol,Manual,1,1197,81.8,5,22
1799,Mercedes-Benz,E-Class 2009-2013 E250 CDI Elegance,2013,29000,Diesel,Automatic,1,2143,203,5,14.21
1800,Maruti,Wagon R VXI,2013,61000,Petrol,Manual,1,998,67.1,5,18.9
1801,Tata,Nano Lx BSIV,2012,4187,Petrol,Manual,1,624,35,4,26
1802,Skoda,Laura 1.8 TSI Ambiente,2011,46000,Petrol,Manual,1,1798,157.8,5,13.4
1803,Volkswagen,Polo GT TSI,2016,28000,Petrol,Automatic,1,1197,103.5,5,17.21
1804,Hyundai,Verna 1.6 SX,2014,83558,Diesel,Manual,1,1582,126.32,5,22.32
1805,Tata,Bolt Quadrajet XE,2017,40000,Diesel,Manual,1,1248,74,5,22.95
1806,Hyundai,EON D Lite Plus,2013,36000,Petrol,Manual,1,814,55.2,5,21.1
1807,Audi,A4 2.0 TDI 177 Bhp Premium Plus,2014,21000,Diesel,Automatic,1,1968,174.33,5,17.11
1808,Toyota,Innova 2.5 GX (Diesel) 7 Seater,2013,62162,Diesel,Manual,1,2494,100,7,12.99
1809,Mercedes-Benz,M-Class ML 350 CDI,2012,83000,Diesel,Automatic,1,2987,254.8,5,11.74
1810,Hyundai,Xcent 1.1 CRDi S,2015,58000,Diesel,Manual,1,1120,71,5,24.4
1811,Honda,Accord 2.4 AT,2011,62332,Petrol,Automatic,1,2354,177.6,5,11.7
1812,Volkswagen,Vento 1.5 TDI Highline,2016,50867,Diesel,Manual,1,1498,103.2,5,20.34
1813,Hyundai,i20 Sportz Petrol,2010,73000,Petrol,Manual,1,1197,80,5,17
1814,Hyundai,Elantra CRDi SX,2012,98008,Diesel,Manual,1,1582,126.24,5,22.7
1815,Ford,Figo Diesel Titanium,2015,36000,Diesel,Manual,1,1399,68.05,5,20
1816,Hyundai,i20 1.2 Magna Executive,2019,27339,Petrol,Manual,1,1197,81.83,5,18.6
1817,Hyundai,Verna 1.6 CRDi SX,2017,25000,Diesel,Manual,1,1582,126.2,5,23.9
1818,Hyundai,Grand i10 Asta,2014,37000,Petrol,Manual,1,1197,82,5,18.9
1819,Audi,Q5 2.0 TDI,2015,56000,Diesel,Automatic,1,1968,174.3,5,14.16
1820,Maruti,Swift Dzire ZXi,2015,27000,Petrol,Manual,1,1298,85.8,5,17.5
1821,Hyundai,i20 Magna,2012,37000,Petrol,Manual,1,1197,80,5,18.5
1822,Mahindra,KUV 100 mFALCON D75 K4 Plus 5str,2017,10500,Diesel,Manual,1,1198,77,5,25.32
1823,Hyundai,Elantra 1.6 SX Option AT,2014,49000,Diesel,Automatic,1,1582,126.2,5,18.23
1824,Jeep,Compass 2.0 Limited Option Black,2017,7000,Diesel,Manual,1,1956,170,5,17.1
1825,Maruti,Vitara Brezza VDi Option,2017,71256,Diesel,Manual,1,1248,88.5,5,24.3
1826,Toyota,Corolla Altis 1.8 GL,2012,83184,Petrol,Manual,1,1798,138.03,5,14.28
1827,Mahindra,XUV500 W8 2WD,2013,87284,Diesel,Manual,1,2179,140,7,15.1
1828,BMW,X1 xDrive 20d xLine,2016,7000,Diesel,Automatic,1,1995,190,5,20.68
1829,Hyundai,i20 Magna 1.4 CRDi,2015,29000,Diesel,Manual,2,1396,88.73,5,22.54
1830,Mercedes-Benz,GLE 350d,2017,33552,Diesel,Automatic,1,2987,254.79,5,11.57
1831,Chevrolet,Cruze LTZ,2013,64000,Diesel,Manual,2,1998,163.7,5,17.3
1832,Hyundai,i20 1.2 Magna,2011,82000,Petrol,Manual,2,1197,80,5,18.5
1833,Honda,Brio S MT,2012,70000,Petrol,Manual,2,1198,86.8,5,19.4
1834,Nissan,Evalia 2013 XL,2013,166194,Diesel,Manual,1,1461,84.8,7,19.3
1835,Volkswagen,Polo Petrol Trendline 1.2L,2015,58000,Petrol,Manual,1,1198,73.9,5,16.47
1836,Hyundai,i10 Sportz 1.2,2010,77000,Petrol,Manual,2,1197,78.9,5,20.36
1837,Chevrolet,Cruze LTZ AT,2009,73204,Diesel,Automatic,3,1991,147.9,4,18.1
1838,Hyundai,i10 Era,2007,70000,Petrol,Manual,2,1086,68.05,5,19.81
1839,Maruti,Ertiga VDI,2014,79870,Diesel,Manual,1,1248,88.76,7,20.77
1840,Honda,Amaze S i-Dtech,2013,90000,Diesel,Manual,1,1498,98.6,5,25.8
1841,Mercedes-Benz,A Class A180 Sport,2016,17000,Petrol,Automatic,1,1595,122,5,15.5
1842,Hyundai,Grand i10 1.2 Kappa Magna,2018,46493,Petrol,Manual,1,1197,81.86,5,18.9
1843,Hyundai,i10 Sportz 1.2,2009,68000,Petrol,Manual,3,1197,78.9,5,20.36
1844,Maruti,Swift DDiS ZDI Plus,2017,2000,Diesel,Manual,1,1248,74,5,28.4
1845,Honda,City 1.3 EXI,1999,140000,Petrol,Manual,1,1343,90,5,13
1846,Toyota,Innova 2.5 GX (Diesel) 7 Seater,2013,255000,Diesel,Manual,3,2494,100.6,7,12.99
1847,Mini,Cooper Countryman D High,2014,45535,Diesel,Automatic,1,1998,112,5,23.8
1848,Fiat,Linea T-Jet Active,2016,39228,Petrol,Manual,1,1368,112.4,5,15.7
1849,Chevrolet,Aveo 1.4 LT,2011,57000,Petrol,Manual,2,1399,92.7,5,14.49
1850,Hyundai,i10 Era 1.1,2008,85445,Petrol,Manual,2,1086,68.05,5,19.81
1851,Hyundai,Xcent 1.1 CRDi Base,2015,54000,Diesel,Manual,1,1120,71,5,24.4
1852,Maruti,Celerio VXI AT,2014,53000,Petrol,Automatic,1,998,67.04,5,23.1
1853,Hyundai,i10 Sportz,2014,60000,Petrol,Manual,1,1197,78.9,5,20.36
1854,Renault,Duster 85PS Diesel RxL,2015,65668,Diesel,Manual,1,1461,83.8,5,19.87
1855,BMW,3 Series 320d,2011,100000,Diesel,Automatic,2,1995,190,5,22.69
1856,Hyundai,Grand i10 Sportz,2018,1800,Petrol,Manual,1,1197,82,5,18.9
1857,Hyundai,Santro DX,2007,96000,Petrol,Manual,2,999,,5,0
1858,Chevrolet,Spark 1.0 LS,2009,44200,Petrol,Manual,2,995,62,5,18
1859,Honda,City i VTEC VX Option,2018,14000,Petrol,Manual,1,1497,117.3,5,17.4
1860,Volkswagen,Vento Diesel Highline,2013,720000,Diesel,Manual,1,1598,103.6,5,20.54
1861,Toyota,Fortuner 4x2 4 Speed AT,2012,73000,Diesel,Automatic,1,2982,169,7,11.5
1862,Honda,City 1.5 S MT,2011,68000,Petrol,Manual,1,1497,118,5,17
1863,BMW,5 Series 2013-2017 520d Luxury Line,2017,19543,Diesel,Automatic,1,1995,190,5,18.12
1864,Audi,Q5 30 TDI quattro Premium Plus,2014,38000,Diesel,Automatic,2,1968,174.3,5,14.16
1865,Maruti,Ritz LDi,2014,32805,Diesel,Manual,1,1248,73.94,5,23.2
1866,Volkswagen,Vento 1.5 TDI Highline AT,2016,44782,Diesel,Automatic,1,1498,103.2,5,21.21
1867,Honda,City i DTEC SV,2016,55700,Diesel,Manual,1,1498,98.6,5,26
1868,Audi,A4 New 2.0 TDI Multitronic,2012,60000,Diesel,Automatic,2,1968,140.8,5,15.2
1869,Skoda,Rapid 1.6 MPI Elegance,2014,56000,Petrol,Manual,1,1598,103.52,5,15
1870,Toyota,Fortuner 3.0 Diesel,2011,60000,Diesel,Manual,1,2982,171,7,11.5
1871,Chevrolet,Optra Magnum 2.0 LT BS3,2010,78563,Diesel,Manual,1,1991,123.7,5,16.52
1872,Maruti,Eeco 7 Seater Standard,2014,34669,Petrol,Manual,1,1196,73,7,15.1
1873,Maruti,Ciaz ZXi,2017,17000,Petrol,Manual,1,1373,91.1,5,20.73
1874,Maruti,Ciaz VDi Plus SHVS,2016,66000,Diesel,Manual,1,1248,88.5,5,28.09
1875,Toyota,Innova 2.5 LE 2014 Diesel 7 Seater,2014,102418,Diesel,Manual,1,2494,100.6,7,12.99
1876,Maruti,Swift Dzire VXI,2014,48800,Petrol,Manual,1,1197,85.8,5,19.1
1877,Toyota,Innova Crysta 2.8 GX AT,2019,10601,Diesel,Automatic,1,2755,171.5,7,11.36
1878,Tata,Indica V2 eLX,2017,8200,Diesel,Manual,1,1396,69,5,25
1879,Hyundai,i20 Magna,2012,100000,Petrol,Manual,1,1197,82.85,5,18.5
1880,Ford,Fiesta 1.4 Duratorq ZXI,2012,78000,Diesel,Manual,1,1399,68,5,17.8
1881,Chevrolet,Enjoy 1.3 TCDi LS 8,2015,50000,Diesel,Manual,1,1248,73.74,8,18.2
1882,Ford,Fiesta 1.4 Duratorq EXI,2006,89327,Diesel,Manual,3,1399,68,5,17.8
1883,Honda,CR-V 2.4 MT,2007,98000,Petrol,Manual,2,2354,152,5,10.8
1884,Honda,Jazz 1.2 VX i VTEC,2017,24700,Petrol,Manual,1,1199,88.7,5,18.7
1885,Mercedes-Benz,GLS 350d Grand Edition,2018,6000,Diesel,Automatic,1,2987,258,7,11
1886,Hyundai,Grand i10 1.2 Kappa Sportz,2018,9434,Petrol,Manual,1,1197,81.86,5,18.9
1887,Maruti,Ritz VXi,2012,29000,Petrol,Manual,1,1197,85.8,5,18.5
1888,Volkswagen,Ameo 1.5 TDI Highline AT,2017,22440,Diesel,Automatic,1,1498,108.495,5,22
1889,Honda,City i VTEC SV,2015,73070,Petrol,Manual,1,1497,117.3,5,17.4
1890,Honda,Jazz 1.2 S i VTEC,2016,21771,Petrol,Manual,1,1199,88.7,5,18.7
1891,Maruti,Swift Ldi BSIV,2014,62000,Diesel,Manual,1,1248,75,5,17.8
1892,Hyundai,Creta 1.6 CRDi AT SX Plus,2017,37024,Diesel,Automatic,1,1582,126.2,5,17.01
1893,Audi,A7 2011-2015 3.0 TDI Quattro,2014,60336,Diesel,Automatic,2,2967,241.4,5,14.4
1894,Hyundai,EON D Lite Plus,2014,26008,Petrol,Manual,1,814,55.2,5,21.1
1895,Ford,Figo Diesel EXI,2010,90000,Diesel,Manual,2,1399,68,5,20
1896,Volkswagen,Ameo 1.2 MPI Highline,2018,35569,Petrol,Manual,1,1198,73.75,5,17
1897,Renault,Scala Diesel RxL,2013,40000,Diesel,Manual,1,1461,84.8,5,21.64
1898,Honda,Jazz 1.2 V i VTEC,2015,45000,Petrol,Manual,1,1199,88.7,5,18.7
1899,Hyundai,i20 1.2 Sportz,2015,42000,Petrol,Manual,1,1197,80,5,17
1900,Audi,A4 3.0 TDI Quattro Premium,2012,46913,Diesel,Automatic,1,2967,241.4,5,14.94
1901,Mahindra,Ssangyong Rexton RX7,2014,62000,Diesel,Automatic,1,2696,184,7,11.18
1902,Toyota,Fortuner 2.8 2WD AT,2017,15000,Diesel,Automatic,1,2755,174.5,7,12.9
1903,Skoda,Octavia Classic 1.9 TDI MT,2002,69000,Diesel,Manual,1,1896,66,5,18.7
1904,Mercedes-Benz,New C-Class 250 CDI Classic,2012,41367,Diesel,Automatic,1,2148,170,5,15.8
1905,Maruti,Ciaz 1.4 Zeta,2018,15982,Petrol,Manual,1,1373,91.1,5,20.73
1906,Maruti,Swift ZDi,2013,99595,Diesel,Manual,2,1248,74,5,22.9
1907,Toyota,Qualis FS B3,2002,63000,Diesel,Manual,3,2446,75,10,13.1
1908,BMW,5 Series 2007-2010 525d Sedan,2012,49000,Diesel,Automatic,2,2495,218,5,16.73
1909,Mitsubishi,Pajero 2.8 SFX BSIII Dual Tone,2013,48272,Diesel,Manual,1,2835,116.9,6,10.5
1910,Toyota,Corolla H2,2008,63000,Petrol,Manual,1,1794,125,5,13.4
1911,Maruti,Wagon R LXI CNG,2016,77000,CNG,Manual,1,998,58.16,5,26.6
1912,Maruti,Omni E MPI STD BS IV,2013,11734,Petrol,Manual,1,796,34.2,8,16.8
1913,Audi,A6 2011-2015 2.0 TDI,2014,62012,Diesel,Automatic,1,1968,174.33,5,17.68
1914,Hyundai,Xcent 1.2 Kappa S Option CNG,2017,46000,CNG,Manual,1,1197,81.86,5,25
1915,Honda,Jazz 1.5 S i DTEC,2016,45449,Diesel,Manual,1,1498,98.6,5,27.3
1916,Mercedes-Benz,E-Class 200 Kompressor Elegance,2004,85000,Petrol,Automatic,2,1796,157.7,5,10.5
1917,Honda,City 1.5 EXI,2005,88000,Petrol,Manual,2,1493,100,,13
1918,Audi,A4 2.0 TDI,2013,45330,Diesel,Automatic,1,1968,147.51,5,16.55
1919,Maruti,Swift Dzire VXI,2012,88000,Petrol,Manual,1,1197,85.8,5,19.1
1920,Maruti,Dzire VDI,2016,45376,Diesel,Manual,1,1248,73.75,5,28.4
1921,Mahindra,XUV500 W8 4WD,2014,81000,Diesel,Manual,1,2179,140,7,15.1
1922,Chevrolet,Beat LT,2012,83381,Petrol,Manual,1,1199,79.4,5,18.6
1923,Ford,EcoSport 1.5 Diesel Titanium Plus,2017,78526,Diesel,Manual,1,1498,98.96,5,23
1924,BMW,5 Series 2013-2017 530d M Sport,2017,27313,Diesel,Automatic,1,2993,258,5,14.69
1925,Audi,Q5 30 TDI quattro Premium Plus,2015,42747,Diesel,Automatic,2,1968,174.3,5,14.16
1926,BMW,X1 sDrive 20d xLine,2015,42265,Diesel,Automatic,2,1995,190,5,20.68
1927,Hyundai,i10 Magna AT,2009,21000,Petrol,Automatic,1,1197,80,5,19.2
1928,Hyundai,Creta 1.6 CRDi AT SX Plus,2016,55100,Diesel,Automatic,1,1582,126.2,5,17.01
1929,Audi,A4 2.0 TDI 177 Bhp Premium Plus,2014,70000,Diesel,Automatic,1,1968,174.33,5,17.11
1930,Mercedes-Benz,S Class 2005 2013 S 350 L,2007,55000,Petrol,Automatic,3,3498,364.9,5,10.13
1931,Hyundai,i10 Magna,2012,58235,Petrol,Manual,1,1197,78.9,5,20.36
1932,Ford,EcoSport 1.5 Diesel Titanium,2017,26000,Diesel,Manual,1,1498,98.96,5,23
1933,Volkswagen,Vento Diesel Highline,2011,35000,Diesel,Manual,1,1598,103.6,5,20.54
1934,Maruti,Dzire ZDI Plus,2017,24000,Diesel,Manual,1,1248,73.75,5,28.4
1935,Mahindra,Scorpio 1.99 S10,2016,98000,Diesel,Manual,1,1997,120,7,15.4
1936,Hyundai,i20 Asta 1.4 CRDi,2016,44487,Diesel,Manual,1,1396,88.73,5,22.54
1937,Maruti,Alto LXi,2008,65000,Petrol,Manual,1,796,46.3,5,19.7
1938,Hyundai,i10 Magna,2015,34951,Petrol,Manual,2,1197,78.9,5,20.36
1939,Mahindra,Scorpio S6 7 Seater,2015,52373,Diesel,Manual,2,2179,120,7,15.4
1940,Skoda,Fabia 1.2L Diesel Classic,2010,66285,Diesel,Manual,1,1199,75,5,19.5
1941,BMW,X5 xDrive 30d,2012,66000,Diesel,Automatic,1,2993,258,5,15.3
1942,Honda,Jazz 1.5 S i DTEC,2016,43000,Diesel,Manual,1,1498,98.6,5,27.3
1943,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde,2013,45200,Diesel,Automatic,1,2148,170,5,10
1944,Mahindra,XUV500 AT W10 FWD,2016,41000,Diesel,Automatic,1,2179,140,7,16
1945,Honda,City i VTEC CVT SV,2017,39430,Petrol,Automatic,1,1497,117.3,5,18
1946,Maruti,Swift VDI,2014,83274,Diesel,Manual,1,1248,74,5,22.9
1947,Mercedes-Benz,New C-Class 220 CDI AT,2017,32324,Diesel,Automatic,1,2143,170,5,14.84
1948,Honda,City 1.5 S MT,2011,49999,Petrol,Manual,1,1497,118,5,17
1949,Tata,Sumo EX,2014,66000,Diesel,Manual,1,2956,83.8,7,15.3
1950,Hyundai,i20 Magna,2012,54000,Petrol,Manual,1,1197,82.85,5,18.5
1951,Fiat,Linea 1.3 Dynamic,2009,80000,Diesel,Manual,2,1248,91.2,5,20.4
1952,Honda,Civic 2006-2010 1.8 V AT,2011,72000,Petrol,Automatic,2,1799,130,5,12.9
1953,Hyundai,Creta 1.6 SX Plus Diesel,2017,44865,Diesel,Manual,1,1582,126.2,5,19.67
1954,Audi,A3 35 TDI Technology,2017,22000,Diesel,Automatic,2,1968,143,5,20.38
1955,Hyundai,Verna VTVT 1.6 SX Option,2013,57478,Petrol,Manual,2,1591,121.3,5,17
1956,Hyundai,i20 1.4 CRDi Magna,2011,75000,Diesel,Manual,1,1396,90,5,21.9
1957,Honda,Mobilio S i DTEC,2015,50624,Diesel,Manual,1,1498,98.6,7,24.2
1958,Hyundai,Verna 1.6 SX CRDI (O) AT,2018,75000,Diesel,Automatic,1,1582,126.32,5,22.32
1959,Ford,Fiesta 1.6 ZXI Duratec,2006,87000,Petrol,Manual,2,1596,101,5,15.3
1960,Hyundai,i10 Sportz 1.2,2010,62000,Petrol,Manual,1,1197,78.9,5,20.36
